scenario,L,propulsion,speed,Re,eff,mu,rho,freq
bacteria,1e-06,Fin,1.0610329528201397e-11,1.0610329528201396e-11,0.02,0.001,1000.0,100.0
bacteria,1e-06,Flagella,0.00011858715332392747,0.00011858715332392746,1.1999344461727632,0.001,1000.0,100.0
bacteria,1.383648068032461e-06,Fin,1.4680961938639223e-11,2.0313284623256252e-11,0.02,0.001,1000.0,100.0
bacteria,1.383648068032461e-06,Flagella,0.00011806209874039375,0.00016335639483000346,1.1999071862202386,0.001,1000.0,100.0
bacteria,1.9144819761699575e-06,Fin,2.0313284585521982e-11,3.8889417215792856e-11,0.02,0.001,1000.0,100.0
bacteria,1.9144819761699575e-06,Flagella,0.00011735042554382187,0.00022466527459952154,1.1998688210173971,0.001,1000.0,100.0
bacteria,2.6489692876105295e-06,Fin,2.8106436872194245e-11,7.44530880586067e-11,0.02,0.001,1000.0,100.0
bacteria,2.6489692876105295e-06,Flagella,0.00011639286522060662,0.00030832112526637867,1.1998150313838574,0.001,1000.0,100.0
bacteria,3.665241237079626e-06,Fin,3.888941681270537e-11,1.4253909418790544e-10,0.02,0.001,1000.0,100.0
bacteria,3.665241237079626e-06,Flagella,0.00011511686103319806,0.0004219310661420422,1.1997399902386454,0.001,1000.0,100.0
bacteria,5.071403956558132e-06,Fin,5.535711739972848e-11,2.80738304204636e-10,0.02,0.001,1000.0,100.0
bacteria,5.071403956558132e-06,Flagella,0.0001149725043501836,0.0005830720134569181,1.1996306185903507,0.001,1000.0,100.0
bacteria,7.017038286703823e-06,Fin,1.4663929287046232e-10,1.028973532407209e-09,0.02,0.001,1000.0,100.0
bacteria,7.017038286703823e-06,Flagella,0.00015207982577990635,0.0010671499601328498,1.1992881961370303,0.001,1000.0,100.0
bacteria,9.709111468707553e-06,Fin,3.884428766418229e-10,3.771435188540876e-09,0.02,0.001,1000.0,100.0
bacteria,9.709111468707553e-06,Flagella,0.00019561008683229497,0.0018992001374583155,1.1986697133022575,0.001,1000.0,100.0
bacteria,1.3433993325988988e-05,Fin,1.0289722159163824e-09,1.382320588124878e-08,0.02,0.001,1000.0,100.0
bacteria,1.3433993325988988e-05,Flagella,0.00024266559876053178,0.0032599680341961054,1.1976104217421293,0.001,1000.0,100.0
bacteria,1.8587918911465637e-05,Fin,2.7257057557380683e-09,5.066519756417438e-08,0.02,0.001,1000.0,100.0
bacteria,1.8587918911465637e-05,Flagella,0.0002891615963417359,0.0053749123051101445,1.1958934743946783,0.001,1000.0,100.0
bacteria,2.571913809059347e-05,Fin,7.220213338185863e-09,1.8569766388834703e-07,0.02,0.001,1000.0,100.0
bacteria,2.571913809059347e-05,Flagella,0.0003130056253799917,0.008050234902280575,1.1936447066332219,0.001,1000.0,100.0
bacteria,3.558623573050966e-05,Fin,1.9125176904238317e-08,6.805930537019236e-07,0.02,0.001,1000.0,100.0
bacteria,3.558623573050966e-05,Flagella,0.0005992436282298004,0.021324825014191567,1.181878945966968,0.001,1000.0,100.0
bacteria,4.9238826317067415e-05,Fin,5.065282101397704e-08,2.494085456376718e-06,0.02,0.001,1000.0,100.0
bacteria,4.9238826317067415e-05,Flagella,0.001147241125580645,0.056488806526262314,1.1492568422388902,0.001,1000.0,100.0
bacteria,6.812920690579608e-05,Fin,1.8028118775508767e-07,1.2282414341789039e-05,0.02,0.001,1000.0,100.0
bacteria,6.812920690579608e-05,Flagella,0.0021963724572450745,0.14963711358184142,1.0646337067553426,0.001,1000.0,100.0
bacteria,9.426684551178853e-05,Fin,6.607740436296442e-07,6.228908468903549e-05,0.02,0.001,1000.0,100.0
bacteria,9.426684551178853e-05,Flagella,0.004204915482351831,0.3963841181649878,0.8783801904901041,0.001,1000.0,100.0
bacteria,0.00013043213867190053,Fin,2.0845056203563063e-06,0.00027188652613666976,0.02,0.001,1000.0,100.0
bacteria,0.00013043213867190053,Flagella,0.006928769033320643,0.9037341633796482,0.6329363322857683,0.001,1000.0,100.0
bacteria,0.00018047217668271703,Fin,2.8842221744087997e-06,0.0005205218538521151,0.02,0.001,1000.0,100.0
bacteria,0.00018047217668271703,Flagella,0.0050076093722107445,0.9037341633796472,0.6329363322857688,0.001,1000.0,100.0
bacteria,0.0002497099786006541,Fin,5.77546969721669e-06,0.0014421924145007058,0.02,0.001,1000.0,100.0
bacteria,0.0002497099786006541,Flagella,0.003619135160092791,0.9037341633796457,0.6329363322857692,0.001,1000.0,100.0
bacteria,0.0003455107294592218,Fin,1.2288227530860086e-05,0.00424571445794836,0.02,0.001,1000.0,100.0
bacteria,0.0003455107294592218,Flagella,0.0026156471748189467,0.9037341633796468,0.6329363322857688,0.001,1000.0,100.0
bacteria,0.00047806525330073803,Fin,2.3185710383105627e-05,0.011084282507256944,0.02,0.001,1000.0,100.0
bacteria,0.00047806525330073803,Flagella,0.0024368461293375896,1.1649714620766978,0.5503771429738151,0.001,1000.0,100.0
bacteria,0.0006614740641230146,Fin,6.141823471627953e-05,0.04062656932903865,0.02,0.001,1000.0,100.0
bacteria,0.0006614740641230146,Flagella,0.0025765056074688146,1.7042916354081332,0.4310340001942617,0.001,1000.0,100.0
bacteria,0.0009152473108773893,Fin,0.003500137686669712,3.2034916054250595,0.5035146860367148,0.001,1000.0,100.0
bacteria,0.0009152473108773893,Flagella,0.002658840956967678,2.433497035915331,0.3309155596711797,0.001,1000.0,100.0
bacteria,0.0012663801734674035,Fin,0.012036453800787775,15.242726452174011,0.846532092520515,0.001,1000.0,100.0
bacteria,0.0012663801734674035,Flagella,0.002693286879362246,3.4107251054842425,0.2505713257027332,0.001,1000.0,100.0
bacteria,0.0017522244804127837,Fin,0.025682853959075713,45.00212543395885,0.9470037835180308,0.001,1000.0,100.0
bacteria,0.0017522244804127837,Flagella,0.0026893629271434617,4.712367557655355,0.18802283081162516,0.001,1000.0,100.0
bacteria,0.0024244620170823282,Fin,0.046832460434531584,113.54352149003277,0.9799231334453788,0.001,1000.0,100.0
bacteria,0.0024244620170823282,Flagella,0.002655340612712554,6.437772457937704,0.14031475486114883,0.001,1000.0,100.0
bacteria,0.0033546021859540433,Fin,0.0780786003918218,261.9226435506376,0.9918003683540351,0.001,1000.0,100.0
bacteria,0.0033546021859540433,Flagella,0.0025979289857625725,8.715018254592495,0.10441496664070035,0.001,1000.0,100.0
bacteria,0.004641588833612777,Fin,0.12276284050866336,569.8146296875981,0.9964573594749264,0.001,1000.0,100.0
bacteria,0.004641588833612777,Flagella,0.0025224129776219096,11.708003910689811,0.077632664938195,0.001,1000.0,100.0
bacteria,0.006422325422229356,Fin,0.21414546763936268,1375.311880875473,0.9986360465821639,0.001,1000.0,100.0
bacteria,0.006422325422229356,Flagella,0.00243289519050772,15.624844631617263,0.0577550939243886,0.001,1000.0,100.0
bacteria,0.008886238162743407,Fin,0.2991724098841277,2658.5172859522477,0.9993326969363996,0.001,1000.0,100.0
bacteria,0.008886238162743407,Flagella,0.002576767984145981,22.897773997253413,0.05,0.001,1000.0,100.0
bacteria,0.012295426265956215,Fin,0.4160330638496284,5115.30386076296,0.9996720031793858,0.001,1000.0,100.0
bacteria,0.012295426265956215,Flagella,0.002808891467733145,34.53651793058641,0.05,0.001,1000.0,100.0
bacteria,0.017012542798525893,Fin,0.5771515862115856,9818.816061661706,0.9998383875602829,0.001,1000.0,100.0
bacteria,0.017012542798525893,Flagella,0.00273194944373079,46.477406834879076,0.05,0.001,1000.0,100.0
bacteria,0.023539371975499858,Fin,0.7996647516260323,18823.60604422088,0.9999202677807988,0.001,1000.0,100.0
bacteria,0.023539371975499858,Flagella,0.0023898149145590328,56.254742226402485,0.05,0.001,1000.0,100.0
bacteria,0.03257020655659783,Fin,1.1072418562202968,36063.09596520586,0.9999606374964813,0.001,1000.0,100.0
bacteria,0.03257020655659783,Flagella,0.001933674629462676,62.98018209485212,0.05,0.001,1000.0,100.0
bacteria,0.045065703377454774,Fin,1.5326014338134495,69067.7616120988,0.9999805605857979,0.001,1000.0,100.0
bacteria,0.045065703377454774,Flagella,0.0014888547763640561,67.09628772372932,0.05,0.001,1000.0,100.0
bacteria,0.062355073412739125,Fin,2.1209913017239055,132254.56832677525,0.9999903979727307,0.001,1000.0,100.0
bacteria,0.062355073412739125,Flagella,0.0011136689864388442,69.4429114068849,0.05,0.001,1000.0,100.0
bacteria,0.08627747685955875,Fin,2.935001674689716,253224.53907080812,0.9999952566608894,0.001,1000.0,100.0
bacteria,0.08627747685955875,Flagella,0.0008197717376048203,70.72783712132015,0.05,0.001,1000.0,100.0
bacteria,0.11937766417144358,Fin,3.0,358132.9925143307,0.9999967443352692,0.001,1000.0,100.0
bacteria,0.11937766417144358,Flagella,0.0005982358765742411,71.41600156898892,0.05,0.001,1000.0,100.0
bacteria,0.16517667439704584,Fin,3.0,495530.0231911375,0.9999977116447275,0.001,1000.0,100.0
bacteria,0.16517667439704584,Flagella,0.00043456634791195375,71.78022415296613,0.05,0.001,1000.0,100.0
bacteria,0.22854638641349884,Fin,3.0,685639.1592404965,0.9999983915517164,0.001,1000.0,100.0
bacteria,0.22854638641349884,Flagella,0.0003149110872686198,71.97179103678904,0.05,0.001,1000.0,100.0
bacteria,0.31622776601683794,Fin,3.0,948683.2980505138,0.9999988694476817,0.001,1000.0,100.0
bacteria,0.31622776601683794,Flagella,0.00022791235920281987,72.07221619833484,0.05,0.001,1000.0,100.0
